grid,positionText,last_1,last_2,avg_position_real
11,3,3,3,7.190476190476191
2,1,2,3,2.819672131147541
3,1,1,2,6.297520661157025
1,1,1,1,4.203252032520325
6,0,4,4,9.428571428571429
15,3,1,1,4.203252032520325
16,4,4,0,9.08
13,4,4,4,9.688524590163935
18,4,,,5.029126213592233
14,4,3,0,7.205882352941177
12,4,3,3,6.8264462809917354
9,3,0,4,5.739837398373984
11,3,4,0,9.78048780487805
3,1,1,1,6.297520661157025
1,1,1,2,2.819672131147541
2,1,2,1,7.787878787878788
8,2,0,3,6.016260162601626
10,2,3,3,7.190476190476191
4,3,2,2,2.4715447154471546
7,3,3,3,7.059701492537314
19,0,,,12.714285714285714
5,0,4,0,9.94059405940594
20,0,4,4,8.36448598130841
17,0,4,4,9.975609756097562
11,4,4,4,9.08
4,0,2,0,6.016260162601626
15,0,3,2,2.4715447154471546
2,0,1,2,7.787878787878788
6,2,0,4,9.94059405940594
5,2,0,4,8.36448598130841
9,1,1,1,2.819672131147541
3,1,3,1,4.203252032520325
1,1,1,1,6.297520661157025
14,3,3,4,9.78048780487805
13,3,2,3,7.190476190476191
7,3,3,3,7.059701492537314
16,4,0,4,9.428571428571429
17,3,0,4,9.975609756097562
8,3,4,3,7.205882352941177
10,4,3,0,5.739837398373984
19,4,4,,5.029126213592233
12,4,4,3,6.8264462809917354
