grid,positionText,current_points,current_wins,last_1,last_2,last_3,last_4,last_5,rolling_avg_pos_move_5,avg_position_real_rolling_5,propensity_1,propensity_0,sma_3
15,1,19.0,0,1,0,1,0,0,4.8,9.8,0.6666666666666666,0.3333333333333333,11.0
5,0,305.0,0,1,1,1,0,0,1.8,3.8,0.5,0.5,3.0
3,1,0.0,5,1,0,1,0,0,3.4,2.8,0.7058823529411765,0.29411764705882354,2.3333333333333335
1,1,363.0,3,1,1,0,0,0,0.2,3.6,0.6666666666666666,0.3333333333333333,3.0
8,0,43.0,0,0,0,0,0,0,0.4,7.4,0.1111111111111111,0.8888888888888888,8.0
17,1,0.0,0,1,1,1,1,,,,1.0,0.0,12.666666666666666
10,1,168.0,0,0,1,0,1,0,0.4,9.2,0.375,0.625,9.0
2,1,317.0,9,0,0,1,1,1,1.8,3.4,0.631578947368421,0.3684210526315789,4.666666666666667
20,1,0.0,0,1,1,1,0,1,1.0,,1.0,0.0,13.333333333333334
19,1,10.0,0,1,,,,,,,1.0,0.0,
14,0,1.0,0,0,1,0,1,1,2.6,,0.0,1.0,12.0
9,1,50.0,0,1,1,0,0,1,1.8,,1.0,0.0,5.0
11,1,0.0,0,1,1,0,0,1,,,1.0,0.0,
12,1,1.0,0,1,0,0,0,0,0.2,,1.0,0.0,7.666666666666667
13,0,0.0,0,0,0,0,1,0,4.4,,0.0,1.0,9.0
8,1,0.0,0,1,0,0,0,0,0.6,,1.0,0.0,6.333333333333333
1,1,12.0,2,1,1,1,0,1,0.0,,1.0,0.0,2.6666666666666665
3,1,6.0,0,0,1,1,1,0,1.2,,0.0,1.0,1.6666666666666667
7,0,22.0,0,0,0,1,0,0,-1.8,,0.0,1.0,10.666666666666666
10,1,0.0,0,1,0,1,0,0,0.6,,1.0,0.0,7.333333333333333
3,1,22.0,0,1,0,1,1,1,1.8,,0.5,0.5,1.6666666666666667
20,1,12.0,0,0,0,1,1,0,2.6,,0.0,1.0,15.0
19,1,1.0,0,1,1,,,,,,1.0,0.0,
7,0,18.0,0,0,0,0,1,0,-1.8,,0.0,1.0,7.333333333333333
4,0,54.0,0,1,1,1,0,0,3.0,,1.0,0.0,3.0
17,1,11.0,0,0,0,1,1,1,3.4,,0.0,1.0,13.666666666666666
